,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,173958,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Douglas Meyer,Brazil,"Vidal Ramos, Santa Catarina",-27.3544,-49.3456,360,flight call,,,field recording,//xeno-canto.org/173958,https://xeno-canto.org/173958/download,XC173958-Trochilidae_Phaethornis_squalidus_19_12_2011_H14_47_Alto_Salseiro_Vidal_Ramos.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173958-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173958-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173958-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173958-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173958-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173958-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173958-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,14:47,2011-12-19,2014-04-12,[],,yes,yes,no,,,no,,,32000
1,705796,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Fernando Igor de Godoy,Brazil,"São Miguel Arcanjo, São Paulo",-24.0557,-47.9947,800,call,,,field recording,//xeno-canto.org/705796,https://xeno-canto.org/705796/download,XC705796-2836_Phaethornis squalidus (calls in r pb)SaoMiguel_160620_FIG.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC705796-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC705796-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC705796-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC705796-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC705796-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC705796-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC705796-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,06:30,2020-06-16,2022-03-03,[],FCF 2836,yes,yes,yes,,,no,,,48000
2,555876,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Ricardo Gagliardi,Brazil,"Tijuca National Park, Rio de Janeiro, RJ",-22.9493,-43.2873,600,song,male,adult,field recording,//xeno-canto.org/555876,https://xeno-canto.org/555876/download,XC555876-Phaethornis_squalidus_PNT_12.10.19_11.27.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/ffts/XC555876-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/ffts/XC555876-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/ffts/XC555876-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/ffts/XC555876-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/wave/XC555876-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/wave/XC555876-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YRDADNREOP/wave/XC555876-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:05,11:27,2019-10-12,2020-05-10,['Chiroxiphia caudata'],,yes,yes,no,,,no,,,48000
3,435591,Phaethornis,squalidus,,birds,Dusky-throated Hermit,JAYRSON ARAUJO DE OLIVEIRA,Brazil,"PE Intervales, Ribeirao Grande, São Paulo",-24.2601,-48.4073,950,song,,,field recording,//xeno-canto.org/435591,https://xeno-canto.org/435591/download,XC435591-Rabo branco pequno (Phaethornis squalidus-OK) 12-9 16e3.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC435591-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC435591-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC435591-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC435591-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC435591-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC435591-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC435591-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,16:03,2018-09-12,2018-09-22,[],,yes,yes,yes,,,no,,,44100
4,189518,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Luiz Gabriel Mazzoni,Brazil,"Serra do Gandarela, Santa Bárbara, Minas Gerais",-20.0682,-43.5861,900,song,,,field recording,//xeno-canto.org/189518,https://xeno-canto.org/189518/download,XC189518-LGM-058.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/ffts/XC189518-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/ffts/XC189518-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/ffts/XC189518-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/ffts/XC189518-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/wave/XC189518-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/wave/XC189518-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MPOKMOFDDX/wave/XC189518-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,07:09,2012-02-01,2014-08-03,['Schiffornis virescens'],Several individuals displaying / lekking. Flowers of unknown species of Zingiberaceae in the understory.,yes,yes,yes,,,no,,,48000
5,115184,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Noé Eiterer,Brazil,"Viçosa, Minas Gerais",-20.79,-42.8882,800,song,,,field recording,//xeno-canto.org/115184,https://xeno-canto.org/115184/download,XC115184-rabo-branco-pequeno.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/ffts/XC115184-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/ffts/XC115184-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/ffts/XC115184-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/ffts/XC115184-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/wave/XC115184-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/wave/XC115184-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TWSKITNQOV/wave/XC115184-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,A,0:14,16:30,2012-09-22,2012-12-22,[],,unknown,unknown,yes,,,no,,,44100
6,85295,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Jeremy Minns,Brazil,Parque Nacional da Serra dos Órgãos. Vale do Garrafão,-22.4759,-42.9898,500,song,,,field recording,//xeno-canto.org/85295,https://xeno-canto.org/85295/download,PHASQU03.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85295-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85295-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85295-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,A,0:24,07:45,1999-06-28,2011-08-03,[],Same place. Single bird perched very low on a dry twig. After playback.,unknown,unknown,unknown,,,no,,,44100
7,283495,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Eduardo Patrial,Brazil,Intervales State Park.  Sede de Pesquisa,-24.2834,-48.4334,900,"song, lekking",,,field recording,//xeno-canto.org/283495,https://xeno-canto.org/283495/download,XC283495-Phaethornis_squalidus_(Dusky-throated_Hermit)e.p.26.10.12.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/ffts/XC283495-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/ffts/XC283495-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/ffts/XC283495-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/ffts/XC283495-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/wave/XC283495-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/wave/XC283495-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QEFRRVCRRP/wave/XC283495-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:53,08:30,2012-10-26,2015-10-02,[],,yes,yes,no,,,no,,,44100
8,187476,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Marcos Melo,Brazil,"APA Capivari Monos, São Paulo, SP",-23.9557,-46.6503,760,call,,,field recording,//xeno-canto.org/187476,https://xeno-canto.org/187476/download,XC187476-Phaethornis squalidus 31 03 2010.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/ffts/XC187476-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/ffts/XC187476-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/ffts/XC187476-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/ffts/XC187476-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/wave/XC187476-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/wave/XC187476-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/wave/XC187476-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:10,07:30,2010-03-31,2014-07-17,['Syndactyla rufosuperciliata'],,no,no,no,,,no,,,44100
9,85298,Phaethornis,squalidus,,birds,Dusky-throated Hermit,Jeremy Minns,Brazil,Intervales State Park. Mirante,-24.2667,-48.4001,900,"call, calls, perched",,,field recording,//xeno-canto.org/85298,https://xeno-canto.org/85298/download,PHASQU13.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85298-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85298-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85298-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC85298-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85298-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85298-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC85298-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:23,09:14,2007-12-16,2011-08-03,"['Drymophila ferruginea', 'Patagioenas plumbea', 'Schiffornis virescens']","Humid forest. A single bird which remained perched for several minutes, occasionally uttering a sequence of calls.",unknown,unknown,unknown,,,no,,,44100
